Date,PGAS,BBCA,UNTR
11/15/2021,1485,7500,22275
11/12/2021,1495,7525,22800
11/11/2021,1505,7675,22375
11/10/2021,1515,7650,22550
11/9/2021,1515,7675,23050
11/8/2021,1500,7575,23150
11/5/2021,1500,7450,22400
11/4/2021,1530,7375,22400
11/3/2021,1475,7350,22325
11/2/2021,1455,7300,23000
11/1/2021,1480,7400,23600
10/29/2021,1510,7475,23550
10/28/2021,1495,7375,23000
10/27/2021,1505,7450,24500
10/26/2021,1550,7525,24500
10/25/2021,1515,7525,24000
10/22/2021,1525,7525,23700
10/21/2021,1505,7400,24700
10/19/2021,1560,7500,25650
10/18/2021,1525,7525,26300
10/15/2021,1525,7650,25500
10/14/2021,1525,7750,25700
10/13/2021,1500,7525,26225
10/12/2021,1535,7320,26275
10/11/2021,1480,7255,26350
10/8/2021,1485,7290,26125
10/7/2021,1485,7160,25900
10/6/2021,1445,7180,26525
10/5/2021,1480,6945,26100
10/4/2021,1405,6960,27100
10/1/2021,1280,6760,26000
9/30/2021,1190,7000,26000
9/29/2021,1200,6580,25500
9/28/2021,1160,6520,24000
9/27/2021,1165,6580,22875
9/24/2021,1125,6585,22075
9/23/2021,1130,6580,21075
9/22/2021,1105,6555,20875
9/21/2021,1120,6490,20600
9/20/2021,1070,6585,20575
9/17/2021,1095,6520,20500
9/16/2021,1130,6500,21650
9/15/2021,1100,6495,21650
9/14/2021,1110,6545,21400
9/13/2021,1050,6555,20875
9/10/2021,1055,6520,21225
9/9/2021,1045,6570,21800
9/8/2021,1050,6440,20900
9/7/2021,1080,6570,21550
9/6/2021,1095,6575,21750
9/3/2021,1060,6600,21375
9/2/2021,1030,6540,20325
9/1/2021,1040,6565,20050
8/31/2021,1035,6550,20075
8/30/2021,1030,6565,20000
8/27/2021,1010,6510,19475
8/26/2021,1015,6560,19275
8/25/2021,1030,6600,19125
8/24/2021,1040,6600,18825
8/23/2021,1055,6590,19025
8/20/2021,1000,6600,19000
8/19/2021,1000,6600,19300
8/18/2021,1025,6600,19725
8/16/2021,1040,6420,20175
8/13/2021,1025,6410,20650
8/12/2021,1020,6300,20700
8/10/2021,1005,6300,19000
8/9/2021,1010,6200,18700
8/6/2021,1025,6160,18900
8/5/2021,1015,6300,18900
8/4/2021,1025,6120,18925
8/3/2021,1010,6145,19150
8/2/2021,990,5960,19300
7/30/2021,975,5970,19550
7/29/2021,1005,6040,19750
7/28/2021,1005,5980,19775
7/27/2021,1030,6005,20000
7/26/2021,1040,6005,20200
7/23/2021,1065,6035,19750
7/22/2021,1065,6155,20125
7/21/2021,1035,6010,19050
7/19/2021,1000,6005,19100
7/16/2021,1010,6110,19300
7/15/2021,1000,6115,19225
7/14/2021,975,5990,18600
7/13/2021,995,6045,19025
7/12/2021,1010,6170,19475
7/9/2021,1015,6020,19500
7/8/2021,1010,6015,20050
7/7/2021,1030,6065,20375
7/6/2021,1040,6055,20750
7/5/2021,1025,6110,20225
7/2/2021,1035,6100,20400
7/1/2021,1010,6025,20325
6/30/2021,1005,6025,20250
6/29/2021,1000,6045,20250
6/28/2021,990,6055,20400
6/25/2021,1035,6190,21350
6/24/2021,1020,6210,21300
6/23/2021,1045,6230,21100
6/22/2021,1055,6340,21625
6/21/2021,1055,6250,21600
6/18/2021,1060,6325,22775
6/17/2021,1105,6330,22000
6/16/2021,1135,6385,22650
6/15/2021,1160,6470,22050
6/14/2021,1165,6410,22500
6/11/2021,1215,6470,22975
6/10/2021,1150,6620,22600
6/9/2021,1120,6530,23375
6/8/2021,1125,6430,23425
6/7/2021,1160,6530,22975
6/4/2021,1170,6580,23525
6/3/2021,1180,6600,23650
6/2/2021,1200,6465,23775
5/31/2021,1115,6375,22550
5/28/2021,1130,6340,21825
5/27/2021,1120,6270,21650
5/25/2021,1100,6355,21500
5/24/2021,1055,6325,21200
5/21/2021,1105,6360,21675
5/20/2021,1090,6380,22025
5/19/2021,1110,6345,21875
5/18/2021,1145,6390,21900
5/17/2021,1130,6500,21425
5/11/2021,1215,6480,21450
5/10/2021,1240,6420,21750
5/7/2021,1230,6400,21750
5/6/2021,1255,6425,21800
5/5/2021,1250,6425,22175
5/4/2021,1235,6400,21575
5/3/2021,1245,6390,20950
4/30/2021,1225,6405,21175
4/29/2021,1230,6410,21375
4/28/2021,1260,6320,21425
4/27/2021,1200,6405,21600
4/26/2021,1205,6285,21550
4/23/2021,1230,6390,21600
4/22/2021,1220,6215,21550
4/21/2021,1250,6165,22475
4/20/2021,1200,6235,22000
4/19/2021,1190,6270,22200
4/16/2021,1175,6275,22075
4/15/2021,1205,6280,21700
4/14/2021,1210,6305,22250
4/13/2021,1180,6000,22525
4/12/2021,1230,6065,21425
4/9/2021,1320,6200,22725
4/8/2021,1300,6135,22575
4/7/2021,1300,6250,22325
4/6/2021,1295,6165,22325
4/5/2021,1280,6155,22200
4/1/2021,1315,6225,22175
3/31/2021,1315,6215,22125
3/30/2021,1325,6395,21500
3/29/2021,1375,6360,21800
3/26/2021,1360,6415,21900
3/25/2021,1325,6370,21350
3/24/2021,1360,6440,21100
3/23/2021,1380,6565,21450
3/22/2021,1400,6620,21625
3/19/2021,1425,6760,21875
3/18/2021,1405,6705,21700
3/17/2021,1385,6610,21050
3/16/2021,1390,6625,21175
3/15/2021,1410,6665,21100
3/12/2021,1410,6765,21225
3/10/2021,1385,6705,21200
3/9/2021,1375,6605,22525
3/8/2021,1410,6720,23325
3/5/2021,1400,6800,21800
3/4/2021,1425,6720,22350
3/3/2021,1465,7000,22775
3/2/2021,1470,7015,22900
3/1/2021,1460,7045,22950
2/26/2021,1440,6710,22550
2/25/2021,1455,6705,23650
2/24/2021,1425,6725,22550
2/23/2021,1450,6825,23125
2/22/2021,1455,6790,23250
2/19/2021,1450,6825,23075
2/18/2021,1450,6735,22975
2/17/2021,1465,6900,22850
2/16/2021,1505,6940,23100
2/15/2021,1520,6800,23250
2/11/2021,1420,6880,23500
2/10/2021,1405,6920,23475
2/9/2021,1430,6980,23525
2/8/2021,1495,6920,24325
2/5/2021,1475,6915,23100
2/4/2021,1460,6855,22350
2/3/2021,1485,6825,22450
2/2/2021,1470,6800,22575
2/1/2021,1455,6820,23850
1/29/2021,1345,6760,22850
1/28/2021,1390,6900,23875
1/27/2021,1485,6790,23400
1/26/2021,1535,6820,23950
1/25/2021,1620,7035,24250
1/22/2021,1680,7080,25175
1/21/2021,1765,7075,25900
1/20/2021,1735,7095,25975
1/19/2021,1705,7095,25925
1/18/2021,1795,7120,26700
1/15/2021,1775,6955,26200
1/14/2021,1810,7020,26300
1/13/2021,1615,7120,26200
1/12/2021,1610,7160,26225
1/11/2021,1625,7345,26550
